   TIME     MODE     Q              P     KINETIC      POTENTIAL          TOTAL
   21.2500  L 1      2.448138  0.016167   0.00212      -56.52299      -56.52087
   21.5000  L 1      2.451569  0.011133   0.00240      -56.52327      -56.52087
   21.7500  L 1      2.453637  0.005271   0.00264      -56.52352      -56.52087
   22.0000  L 1      2.454142 -0.001356   0.00285      -56.52372      -56.52087
   22.2500  L 1      2.452902 -0.008668   0.00302      -56.52390      -56.52087
   22.5000  L 1      2.449759 -0.016570   0.00318      -56.52406      -56.52087
   22.7500  L 1      2.444578 -0.024958   0.00334      -56.52421      -56.52087
   23.0000  L 1      2.437250 -0.033718   0.00351      -56.52439      -56.52087
   23.2500  L 1      2.427698 -0.042732   0.00372      -56.52459      -56.52087
   23.5000  L 1      2.415873 -0.051881   0.00397      -56.52484      -56.52087
   23.7500  L 1      2.401757 -0.061044   0.00428      -56.52515      -56.52087
   24.0000  L 1      2.385361 -0.070099   0.00465      -56.52552      -56.52087
   24.2500  L 1      2.366726 -0.078929   0.00508      -56.52595      -56.52087
   24.5000  L 1      2.345925 -0.087415   0.00557      -56.52645      -56.52087
   24.7500  L 1      2.323057 -0.095446   0.00611      -56.52699      -56.52087
   25.0000  L 1      2.298250 -0.102913   0.00668      -56.52756      -56.52087
   25.2500  L 1      2.271657 -0.109714   0.00727      -56.52814      -56.52087
   25.5000  L 1      2.243457 -0.115754   0.00783      -56.52871      -56.52087
   25.7500  L 1      2.213851 -0.120949   0.00837      -56.52924      -56.52087
   26.0000  L 1      2.183059 -0.125225   0.00883      -56.52971      -56.52087
   26.2500  L 1      2.151320 -0.128522   0.00922      -56.53009      -56.52087
   26.5000  L 1      2.118884 -0.130799   0.00950      -56.53037      -56.52087
   26.7500  L 1      2.086008 -0.132033   0.00966      -56.53053      -56.52087
   27.0000  L 1      2.052955 -0.132223   0.00971      -56.53058      -56.52087
   27.2500  L 1      2.019982 -0.131394   0.00964      -56.53051      -56.52087
   27.5000  L 1      1.987340 -0.129594   0.00947      -56.53034      -56.52087
   27.7500  L 1      1.955260 -0.126902   0.00923      -56.53010      -56.52087
   28.0000  L 1      1.923956 -0.123417   0.00894      -56.52981      -56.52087
   28.2500  L 1      1.893608 -0.119264   0.00863      -56.52950      -56.52087
   28.5000  L 1      1.864367 -0.114588   0.00834      -56.52921      -56.52087
   28.7500  L 1      1.836345 -0.109544   0.00808      -56.52895      -56.52087
   29.0000  L 1      1.809612 -0.104297   0.00788      -56.52875      -56.52087
   29.2500  L 1      1.784200 -0.099009   0.00773      -56.52861      -56.52087
   29.5000  L 1      1.760098 -0.093837   0.00765      -56.52852      -56.52087
   29.7500  L 1      1.737260 -0.088922   0.00760      -56.52847      -56.52087
   30.0000  L 1      1.715605 -0.084385   0.00758      -56.52845      -56.52087
   30.2500  L 1      1.695028 -0.080323   0.00755      -56.52842      -56.52087
   30.5000  L 1      1.675399 -0.076809   0.00748      -56.52836      -56.52087
   30.7500  L 1      1.656576 -0.073888   0.00737      -56.52824      -56.52087
   31.0000  L 1      1.638406 -0.071582   0.00719      -56.52806      -56.52087
   31.2500  L 1      1.620735 -0.069891   0.00694      -56.52781      -56.52087
   31.5000  L 1      1.603413 -0.068793   0.00661      -56.52748      -56.52087
   31.7500  L 1      1.586294 -0.068253   0.00622      -56.52709      -56.52087
   32.0000  L 1      1.569246 -0.068221   0.00578      -56.52666      -56.52087
   32.2500  L 1      1.552148 -0.068639   0.00533      -56.52620      -56.52087
   32.5000  L 1      1.534896 -0.069439   0.00488      -56.52575      -56.52087
   32.7500  L 1      1.517403 -0.070553   0.00445      -56.52532      -56.52087
   33.0000  L 1      1.499600 -0.071906   0.00408      -56.52495      -56.52087
   33.2500  L 1      1.481437 -0.073423   0.00377      -56.52465      -56.52087
   33.5000  L 1      1.462882 -0.075032   0.00355      -56.52442      -56.52087
   33.7500  L 1      1.443920 -0.076658   0.00342      -56.52429      -56.52087
   34.0000  L 1      1.424558 -0.078230   0.00337      -56.52425      -56.52087
   34.2500  L 1      1.404816 -0.079681   0.00340      -56.52428      -56.52087
   34.5000  L 1      1.384733 -0.080944   0.00350      -56.52437      -56.52087
   34.7500  L 1      1.364364 -0.081961   0.00363      -56.52450      -56.52087
   35.0000  L 1      1.343778 -0.082677   0.00378      -56.52465      -56.52087
   35.2500  L 1      1.323055 -0.083044   0.00391      -56.52478      -56.52087
   35.5000  L 1      1.302289 -0.083024   0.00401      -56.52488      -56.52087
   35.7500  L 1      1.281579 -0.082588   0.00405      -56.52492      -56.52087
   36.0000  L 1      1.261032 -0.081720   0.00401      -56.52488      -56.52087
   36.2500  L 1      1.240757 -0.080415   0.00389      -56.52476      -56.52087
   36.5000  L 1      1.220861 -0.078686   0.00369      -56.52456      -56.52087
   36.7500  L 1      1.201449 -0.076558   0.00342      -56.52430      -56.52087
   37.0000  L 1      1.182614 -0.074075   0.00312      -56.52399      -56.52087
   37.2500  L 1      1.164439 -0.071293   0.00280      -56.52368      -56.52087
   37.5000  L 1      1.146989 -0.068284   0.00251      -56.52338      -56.52087
   37.7500  L 1      1.130312 -0.065128   0.00226      -56.52314      -56.52087
   38.0000  L 1      1.114431 -0.061916   0.00210      -56.52297      -56.52087
   38.2500  L 1      1.099351 -0.058742   0.00203      -56.52290      -56.52087
   38.5000  L 1      1.085050 -0.055699   0.00206      -56.52293      -56.52087
   38.7500  L 1      1.071483 -0.052877   0.00218      -56.52305      -56.52087
   39.0000  L 1      1.058586 -0.050356   0.00237      -56.52325      -56.52087
   39.2500  L 1      1.046275 -0.048202   0.00261      -56.52348      -56.52087
   39.5000  L 1      1.034451 -0.046467   0.00286      -56.52373      -56.52087
   39.7500  L 1      1.023005 -0.045186   0.00308      -56.52396      -56.52087
   40.0000  L 1      1.011820 -0.044379   0.00326      -56.52413      -56.52087
   40.2500  L 1      1.000778 -0.044049   0.00336      -56.52423      -56.52087
   40.5000  L 1      0.989759 -0.044187   0.00338      -56.52426      -56.52087
   40.7500  L 1      0.978649 -0.044773   0.00332      -56.52420      -56.52087
   41.0000  L 1      0.967340 -0.045777   0.00319      -56.52407      -56.52087
   41.2500  L 1      0.955731 -0.047161   0.00301      -56.52388      -56.52087
   41.5000  L 1      0.943733 -0.048882   0.00279      -56.52366      -56.52087
   41.7500  L 1      0.931267 -0.050892   0.00257      -56.52344      -56.52087
   42.0000  L 1      0.918268 -0.053145   0.00237      -56.52324      -56.52087
   42.2500  L 1      0.904680 -0.055588   0.00221      -56.52308      -56.52087
   42.5000  L 1      0.890462 -0.058175   0.00212      -56.52299      -56.52087
   42.7500  L 1      0.875585 -0.060855   0.00211      -56.52298      -56.52087
   43.0000  L 1      0.860031 -0.063583   0.00219      -56.52306      -56.52087
   43.2500  L 1      0.843793 -0.066316   0.00235      -56.52322      -56.52087
   43.5000  L 1      0.826876 -0.069013   0.00258      -56.52345      -56.52087
   43.7500  L 1      0.809293 -0.071636   0.00288      -56.52375      -56.52087
   44.0000  L 1      0.791067 -0.074155   0.00321      -56.52408      -56.52087
   44.2500  L 1      0.772227 -0.076541   0.00356      -56.52443      -56.52087
   44.5000  L 1      0.752810 -0.078774   0.00390      -56.52477      -56.52087
   44.7500  L 1      0.732855 -0.080838   0.00421      -56.52508      -56.52087
   45.0000  L 1      0.712406 -0.082726   0.00445      -56.52533      -56.52087
   45.2500  L 1      0.691508 -0.084438   0.00463      -56.52551      -56.52087
   45.5000  L 1      0.670203 -0.085982   0.00474      -56.52561      -56.52087
   45.7500  L 1      0.648531 -0.087373   0.00477      -56.52565      -56.52087
   46.0000  L 1      0.626529 -0.088634   0.00475      -56.52563      -56.52087
   46.2500  L 1      0.604225 -0.089793   0.00470      -56.52557      -56.52087
   46.5000  L 1      0.581640 -0.090884   0.00464      -56.52551      -56.52087
   46.7500  L 1      0.558788 -0.091943   0.00461      -56.52548      -56.52087
   47.0000  L 1      0.535670 -0.093006   0.00463      -56.52550      -56.52087
   47.2500  L 1      0.512282 -0.094108   0.00473      -56.52560      -56.52087
   47.5000  L 1      0.488610 -0.095281   0.00492      -56.52579      -56.52087
   47.7500  L 1      0.464633 -0.096551   0.00521      -56.52608      -56.52087
   48.0000  L 1      0.440325 -0.097934   0.00557      -56.52645      -56.52087
   48.2500  L 1      0.415656 -0.099440   0.00601      -56.52688      -56.52087
   48.5000  L 1      0.390595 -0.101066   0.00647      -56.52735      -56.52087
   48.7500  L 1      0.365114 -0.102801   0.00694      -56.52782      -56.52087
   49.0000  L 1      0.339188 -0.104627   0.00738      -56.52825      -56.52087
   49.2500  L 1      0.312797 -0.106515   0.00776      -56.52864      -56.52087
   49.5000  L 1      0.285929 -0.108434   0.00807      -56.52894      -56.52087
   49.7500  L 1      0.258582 -0.110347   0.00828      -56.52916      -56.52087
   50.0000  L 1      0.230761 -0.112216   0.00841      -56.52928      -56.52087
   50.2500  L 1      0.202482 -0.114003   0.00844      -56.52932      -56.52087
